datetime,demand_mw,RF_Pred,LSTM_Pred,Prophet_Pred
2025-05-18 13:00:00,13890.0,13730.123081601776,13753.089,13013.805529809448
2025-05-18 14:00:00,14130.0,13886.101848340812,13907.778,12860.041374629123
2025-05-18 15:00:00,14020.0,14011.643857368437,14007.161,12764.417290831527
2025-05-18 16:00:00,13735.0,13732.992606589563,13876.1,12919.18307601087
2025-05-18 17:00:00,12980.0,13525.329341728066,13579.612,13363.95443036777
2025-05-18 18:00:00,14545.0,14573.125079365076,13374.698,13924.264313582253
2025-05-18 19:00:00,14650.0,14636.812736103593,14391.771,14318.962016603067
2025-05-18 20:00:00,14310.0,14596.781551767937,14422.746,14356.282327532695
2025-05-18 21:00:00,14030.0,14072.25270145754,13929.047,14058.209434507684
2025-05-18 22:00:00,13700.0,13582.799485247248,13482.789,13615.309404456493
2025-05-18 23:00:00,13630.0,13495.242565591938,13084.234,13222.403527467259
2025-05-19 00:00:00,13430.0,12639.036960563148,12911.454,12942.794277267294
2025-05-19 01:00:00,13080.0,12965.778345991059,12707.017,12709.16506870161
2025-05-19 02:00:00,12780.0,12771.740197532476,12452.277,12436.96900323178
2025-05-19 03:00:00,12520.0,12221.142709185486,12209.417,12129.146888646737
2025-05-19 04:00:00,12160.0,11524.093356962892,12033.439,11876.134688715218
2025-05-19 05:00:00,11770.0,11517.539691760823,11831.471,11767.322023054916
2025-05-19 06:00:00,11785.0,11485.805565741153,11676.63,11813.48803678912
2025-05-19 07:00:00,11760.0,11768.29225552449,11772.372,11955.362734505485
2025-05-19 08:00:00,11760.0,12015.370468675932,11885.199,12135.369151320661
2025-05-19 09:00:00,12380.0,12021.776816669824,11989.902,12344.609435963679
2025-05-19 10:00:00,12830.0,12695.621145846295,12473.863,12592.505806975772
2025-05-19 11:00:00,13120.0,13115.61380685498,12897.619,12841.01140148916
2025-05-19 12:00:00,13050.0,13329.211196497623,13206.696,12993.890533798427
2025-05-19 13:00:00,12860.0,13045.459740223994,13190.608,12976.701857788594
2025-05-19 14:00:00,13030.0,12926.52956059216,13118.162,12837.946579327645
2025-05-19 15:00:00,13100.0,13107.371012493359,13226.211,12758.504583909487
2025-05-19 16:00:00,12830.0,13053.428858423971,13245.263,12930.309306401956
2025-05-19 17:00:00,12640.0,12666.993461015092,12947.955,13392.657315538587
2025-05-19 18:00:00,14362.5,14438.090023182956,13173.213,13970.764129678279
2025-05-19 19:00:00,14610.0,14589.496023688165,14329.516,14383.16766560944
2025-05-19 20:00:00,14725.0,14615.551624677737,14483.158,14437.801643197614
2025-05-19 21:00:00,14490.0,14629.306731275921,14422.22,14156.363533774374
2025-05-19 22:00:00,14415.0,14296.189652061987,14099.289,13729.150838724676
2025-05-19 23:00:00,14320.0,14195.78453139988,13893.885,13350.737939898323
2025-05-20 00:00:00,13680.0,13931.632232288523,13814.247,13084.205227606735
2025-05-20 01:00:00,13280.0,13378.32385191398,13244.832,12862.041646975329
2025-05-20 02:00:00,13000.0,13032.682877941921,12860.934,12599.53581954644
2025-05-20 03:00:00,12795.0,12712.308427586178,12632.488,12299.495996698057
2025-05-20 04:00:00,12565.0,12426.287221212939,12489.539,12052.258977344354
2025-05-20 05:00:00,12283.0,11917.729578783177,12346.194,11947.149593661648
2025-05-20 06:00:00,12277.0,12062.160356737966,12221.886,11994.917073545466
2025-05-20 07:00:00,12220.0,12186.04443861133,12272.333,12136.296370208554
2025-05-20 08:00:00,12490.0,12491.549782668939,12286.915,12313.74983464579
2025-05-20 09:00:00,12690.0,12807.523298004502,12590.618,12518.452314746675
2025-05-20 10:00:00,12780.0,12946.807863480872,12815.65,12759.930657905083
2025-05-20 11:00:00,13040.0,13057.311506007247,12941.206,13000.272657990468
2025-05-20 12:00:00,12789.0,12051.674170639662,13112.022,13143.40499206967
2025-05-20 13:00:00,12490.0,12700.707773889928,12905.64,13115.073673604478
